timestep,x_cm,y_cm,z_cm,yaw_deg,basis_xx,basis_xy,basis_xz,basis_yx,basis_yy,basis_yz,basis_zx,basis_zy,basis_zz,teleport_flag
145,189.990200,979.980400,59.991600,-154.900009,-0.905569,0.424199,0.000000,-0.424199,-0.905569,0.000000,0.000000,0.000000,1.000000,0
146,189.990200,970.019500,59.991600,-154.199997,-0.900319,0.435231,0.000000,-0.435231,-0.900319,0.000000,0.000000,0.000000,1.000000,0
147,189.990200,970.019500,59.991600,-154.199997,-0.900319,0.435231,0.000000,-0.435231,-0.900319,0.000000,0.000000,0.000000,1.000000,0
148,189.990200,970.019500,59.991600,-154.199997,-0.900319,0.435231,0.000000,-0.435231,-0.900319,0.000000,0.000000,0.000000,1.000000,0
149,189.990200,970.019500,59.991600,-154.199997,-0.900319,0.435231,0.000000,-0.435231,-0.900319,0.000000,0.000000,0.000000,1.000000,0
150,179.980500,970.019500,59.991600,-153.100006,-0.891798,0.452435,0.000000,-0.452435,-0.891798,0.000000,0.000000,0.000000,1.000000,0
151,179.980500,970.019500,59.991600,-153.100006,-0.891798,0.452435,0.000000,-0.452435,-0.891798,0.000000,0.000000,0.000000,1.000000,0
152,179.980500,970.019500,59.991600,-153.100006,-0.891798,0.452435,0.000000,-0.452435,-0.891798,0.000000,0.000000,0.000000,1.000000,0
153,169.970700,960.058500,59.991600,-151.699997,-0.880477,0.474088,0.000000,-0.474088,-0.880477,0.000000,0.000000,0.000000,1.000000,0
154,169.970700,960.058500,59.991600,-151.699997,-0.880477,0.474088,0.000000,-0.474088,-0.880477,0.000000,0.000000,0.000000,1.000000,0
155,169.970700,960.058500,59.991600,-151.699997,-0.880477,0.474088,0.000000,-0.474088,-0.880477,0.000000,0.000000,0.000000,1.000000,0
156,169.970700,949.999900,59.991600,-150.199997,-0.867765,0.496974,0.000000,-0.496974,-0.867765,0.000000,0.000000,0.000000,1.000000,0
157,169.970700,949.999900,59.991600,-150.199997,-0.867765,0.496974,0.000000,-0.496974,-0.867765,0.000000,0.000000,0.000000,1.000000,0
158,169.970700,949.999900,59.991600,-150.199997,-0.867765,0.496974,0.000000,-0.496974,-0.867765,0.000000,0.000000,0.000000,1.000000,0
159,169.970700,949.999900,59.991600,-150.199997,-0.867765,0.496974,0.000000,-0.496974,-0.867765,0.000000,0.000000,0.000000,1.000000,0
160,160.009800,940.039000,59.991600,-148.199997,-0.849893,0.526956,0.000000,-0.526956,-0.849893,0.000000,0.000000,0.000000,1.000000,0
161,160.009800,940.039000,59.991600,-148.199997,-0.849893,0.526956,0.000000,-0.526956,-0.849893,0.000000,0.000000,0.000000,1.000000,0
162,160.009800,940.039000,59.991600,-148.199997,-0.849893,0.526956,0.000000,-0.526956,-0.849893,0.000000,0.000000,0.000000,1.000000,0
163,160.009800,940.039000,59.991600,-148.199997,-0.849893,0.526956,0.000000,-0.526956,-0.849893,0.000000,0.000000,0.000000,1.000000,0
164,139.990200,929.980400,59.991600,-145.900009,-0.828060,0.560639,0.000000,-0.560639,-0.828060,0.000000,0.000000,0.000000,1.000000,0
165,139.990200,929.980400,59.991600,-145.900009,-0.828060,0.560639,0.000000,-0.560639,-0.828060,0.000000,0.000000,0.000000,1.000000,0
166,139.990200,929.980400,59.991600,-145.900009,-0.828060,0.560639,0.000000,-0.560639,-0.828060,0.000000,0.000000,0.000000,1.000000,0
167,129.980500,910.058500,59.991600,-143.000000,-0.798635,0.601815,0.000000,-0.601815,-0.798635,0.000000,0.000000,0.000000,1.000000,0
