step_idx	elapsed_s	stuck_x_cm	stuck_y_cm	stuck_z_cm	hist_x_cm	hist_y_cm	hist_z_cm	hist_heading_deg	dist_from_stuck_cm	contact_side	contact_min_lidar_cm	bumper_sample_idx	bumper_lateral_offset_cm	obstacle_x_cm	obstacle_y_cm	obstacle_cell_x	obstacle_cell_y	placed
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.300	14.122	front	0.000	1	-106.667	30.365	327.550	98	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.300	14.122	front	0.000	2	-53.333	82.998	318.932	99	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.300	14.122	front	0.000	3	0.000	135.630	310.313	100	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.300	14.122	front	0.000	4	53.333	188.262	301.694	101	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.300	14.122	front	0.000	5	106.667	240.894	293.075	102	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.300	14.122	front	0.000	6	160.000	293.527	284.456	103	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.300	14.122	front	0.000	0	-160.000	-22.267	336.169	97	87	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.300	14.122	front	0.000	1	-106.667	30.365	327.550	98	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.300	14.122	front	0.000	2	-53.333	82.998	318.932	99	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.300	14.122	front	0.000	3	0.000	135.630	310.313	100	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.300	14.122	front	0.000	4	53.333	188.262	301.694	101	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.300	14.122	front	0.000	5	106.667	240.894	293.075	102	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.300	14.122	front	0.000	6	160.000	293.527	284.456	103	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.300	14.122	front	0.000	0	-160.000	-22.267	336.169	97	87	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.300	14.122	front	0.000	1	-106.667	30.365	327.550	98	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.300	14.122	front	0.000	2	-53.333	82.998	318.932	99	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.300	14.122	front	0.000	3	0.000	135.630	310.313	100	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.300	14.122	front	0.000	4	53.333	188.262	301.694	101	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.300	14.122	front	0.000	5	106.667	240.894	293.075	102	86	0
225	69.377	179.980	510.058	79.999	169.971	520.020	79.999	-99.300	14.122	front	0.000	6	160.000	293.527	284.456	103	86	0
