sample_idx,sensor_idx,distance_cm,x_cm,y_cm,z_cm,pose_x_cm,pose_y_cm,pose_z_cm,heading_deg
5,5,454.149994,2299.331787,-929.952515,-171.930786,1669.970703,-539.941528,20.001301,-37.599998
5,6,449.559998,2204.514160,-1046.257812,-169.990967,1669.970703,-539.941528,20.001301,-37.599998
5,7,408.660004,2079.351074,-73.908287,-119.768654,1669.970703,-539.941528,20.001301,-37.599998
5,8,400.260010,1328.789551,-1048.532471,-116.895683,1669.970703,-539.941528,20.001301,-37.599998
5,9,698.190002,1514.441528,487.060730,20.001301,1669.970703,-539.941528,20.001301,-37.599998
5,10,256.440002,1262.074829,-124.846260,20.001301,1669.970703,-539.941528,20.001301,-37.599998
5,11,251.089996,1186.994751,-231.108200,20.001301,1669.970703,-539.941528,20.001301,-37.599998
5,12,651.469971,717.548706,-606.383301,20.001301,1669.970703,-539.941528,20.001301,-37.599998
6,1,588.130005,2500.017334,-845.925110,-181.151001,1669.970703,-539.941528,20.001301,-37.599998
6,3,553.270020,2160.282227,-1236.629639,-169.228195,1669.970703,-539.941528,20.001301,-37.599998
6,5,454.149994,2299.331787,-929.952515,-171.930786,1669.970703,-539.941528,20.001301,-37.599998
6,6,449.559998,2204.514160,-1046.257812,-169.990967,1669.970703,-539.941528,20.001301,-37.599998
6,7,408.660004,2079.351074,-73.908287,-119.768654,1669.970703,-539.941528,20.001301,-37.599998
6,8,400.260010,1328.789551,-1048.532471,-116.895683,1669.970703,-539.941528,20.001301,-37.599998
6,9,698.190002,1514.441528,487.060730,20.001301,1669.970703,-539.941528,20.001301,-37.599998
6,10,256.440002,1262.074829,-124.846260,20.001301,1669.970703,-539.941528,20.001301,-37.599998
6,11,251.089996,1186.994751,-231.108200,20.001301,1669.970703,-539.941528,20.001301,-37.599998
6,12,651.469971,717.548706,-606.383301,20.001301,1669.970703,-539.941528,20.001301,-37.599998
7,1,588.130005,2500.017334,-845.925110,-181.151001,1669.970703,-539.941528,20.001301,-37.599998
7,3,553.270020,2160.282227,-1236.629639,-169.228195,1669.970703,-539.941528,20.001301,-37.599998
7,5,454.149994,2299.331787,-929.952515,-171.930786,1669.970703,-539.941528,20.001301,-37.599998
7,6,449.559998,2204.514160,-1046.257812,-169.990967,1669.970703,-539.941528,20.001301,-37.599998
7,7,408.660004,2079.351074,-73.908287,-119.768654,1669.970703,-539.941528,20.001301,-37.599998
7,8,400.260010,1328.789551,-1048.532471,-116.895683,1669.970703,-539.941528,20.001301,-37.599998
7,9,698.190002,1514.441528,487.060730,20.001301,1669.970703,-539.941528,20.001301,-37.599998
7,10,256.440002,1262.074829,-124.846260,20.001301,1669.970703,-539.941528,20.001301,-37.599998
7,11,251.089996,1186.994751,-231.108200,20.001301,1669.970703,-539.941528,20.001301,-37.599998
7,12,651.469971,717.548706,-606.383301,20.001301,1669.970703,-539.941528,20.001301,-37.599998
8,1,588.130005,2500.017334,-845.925110,-181.151001,1669.970703,-539.941528,20.001301,-37.599998
8,3,553.270020,2160.282227,-1236.629639,-169.228195,1669.970703,-539.941528,20.001301,-37.599998
8,5,454.149994,2299.331787,-929.952515,-171.930786,1669.970703,-539.941528,20.001301,-37.599998
8,6,449.559998,2204.514160,-1046.257812,-169.990967,1669.970703,-539.941528,20.001301,-37.599998
