sample_idx,sensor_idx,distance_cm,x_cm,y_cm,z_cm
27,8,398.630005,-262.612610,819.673035,-86.345490
27,9,672.440002,966.238953,1716.274292,49.993999
27,10,164.020004,371.521912,1409.591919,49.993999
27,11,160.660004,242.498413,1393.336914,49.993999
27,12,518.929993,-266.694885,1475.031372,49.993999
27,15,457.049988,770.164368,268.044250,49.993999
28,1,557.299988,674.001465,132.189758,-140.613815
28,5,516.859985,493.423004,137.957321,-168.440475
28,6,525.559998,344.947815,115.213463,-172.117249
28,7,392.350006,944.666504,940.175415,-84.197609
28,8,398.630005,-262.612610,819.673035,-86.345490
28,9,672.440002,966.238953,1716.274292,49.993999
28,10,164.020004,371.521912,1409.591919,49.993999
28,11,160.660004,242.498413,1393.336914,49.993999
28,12,518.929993,-266.694885,1475.031372,49.993999
28,15,457.049988,770.164368,268.044250,49.993999
29,1,557.299988,674.001465,132.189758,-140.613815
29,5,516.859985,493.423004,137.957321,-168.440475
29,6,525.559998,344.947815,115.213463,-172.117249
29,7,392.350006,944.666504,940.175415,-84.197609
29,8,398.630005,-262.612610,819.673035,-86.345490
29,9,672.440002,966.238953,1716.274292,49.993999
29,10,164.020004,371.521912,1409.591919,49.993999
29,11,160.660004,242.498413,1393.336914,49.993999
29,12,518.929993,-266.694885,1475.031372,49.993999
29,15,457.049988,770.164368,268.044250,49.993999
30,1,557.299988,674.001465,132.189758,-140.613815
30,5,516.859985,493.423004,137.957321,-168.440475
30,6,525.559998,344.947815,115.213463,-172.117249
30,7,392.350006,944.666504,940.175415,-84.197609
30,8,398.630005,-262.612610,819.673035,-86.345490
30,9,672.440002,966.238953,1716.274292,49.993999
30,10,164.020004,371.521912,1409.591919,49.993999
30,11,160.660004,242.498413,1393.336914,49.993999
30,12,518.929993,-266.694885,1475.031372,49.993999
30,15,457.049988,770.164368,268.044250,49.993999
31,1,557.299988,674.001465,132.189758,-140.613815
31,5,516.859985,493.423004,137.957321,-168.440475
31,6,525.559998,344.947815,115.213463,-172.117249
31,7,392.350006,944.666504,940.175415,-84.197609
31,8,398.630005,-262.612610,819.673035,-86.345490
31,9,672.440002,966.238953,1716.274292,49.993999
31,10,164.020004,371.521912,1409.591919,49.993999
31,11,160.660004,242.498413,1393.336914,49.993999
31,12,518.929993,-266.694885,1475.031372,49.993999
31,15,457.049988,770.164368,268.044250,49.993999
32,1,557.299988,674.001465,132.189758,-140.613815
32,5,516.859985,493.423004,137.957321,-168.440475
32,6,525.559998,344.947815,115.213463,-172.117249
32,7,392.350006,944.666504,940.175415,-84.197609
32,8,398.630005,-262.612610,819.673035,-86.345490
32,9,672.440002,966.238953,1716.274292,49.993999
32,10,164.020004,371.521912,1409.591919,49.993999
32,11,160.660004,242.498413,1393.336914,49.993999
32,12,518.929993,-266.694885,1475.031372,49.993999
32,15,457.049988,770.164368,268.044250,49.993999
33,1,557.299988,674.001465,132.189758,-140.613815
33,5,516.859985,493.423004,137.957321,-168.440475
33,6,525.559998,344.947815,115.213463,-172.117249
33,7,392.350006,944.666504,940.175415,-84.197609
33,8,398.630005,-262.612610,819.673035,-86.345490
33,9,672.440002,966.238953,1716.274292,49.993999
33,10,164.020004,371.521912,1409.591919,49.993999
33,11,160.660004,242.498413,1393.336914,49.993999
33,12,518.929993,-266.694885,1475.031372,49.993999
33,15,457.049988,770.164368,268.044250,49.993999
34,1,557.299988,674.001465,132.189758,-140.613815
34,5,516.859985,493.423004,137.957321,-168.440475
34,6,525.559998,344.947815,115.213463,-172.117249
34,7,392.350006,944.666504,940.175415,-84.197609
34,8,398.630005,-262.612610,819.673035,-86.345490
34,9,672.440002,966.238953,1716.274292,49.993999
34,10,164.020004,371.521912,1409.591919,49.993999
34,11,160.660004,242.498413,1393.336914,49.993999
34,12,518.929993,-266.694885,1475.031372,49.993999
34,15,457.049988,770.164368,268.044250,49.993999
35,6,427.809998,351.161865,113.318565,-120.808716
35,7,400.899994,962.509705,855.210938,-77.124275
35,8,408.760010,-261.352783,724.417969,-79.812553
35,9,612.250000,937.104004,1580.629272,59.991600
