timestep,x_cm,y_cm,z_cm,yaw_deg,basis_xx,basis_xy,basis_xz,basis_yx,basis_yy,basis_yz,basis_zx,basis_zy,basis_zz,teleport_flag
134,-2670.019500,-7859.961000,20.001300,-117.199997,-0.457098,0.889416,0.000000,-0.889416,-0.457098,0.000000,0.000000,0.000000,1.000000,0
135,-2670.019500,-7870.019600,20.001300,-118.199997,-0.472551,0.881303,0.000000,-0.881303,-0.472551,0.000000,0.000000,0.000000,1.000000,0
136,-2670.019500,-7870.019600,20.001300,-118.199997,-0.472551,0.881303,0.000000,-0.881303,-0.472551,0.000000,0.000000,0.000000,1.000000,0
137,-2670.019500,-7870.019600,20.001300,-118.199997,-0.472551,0.881303,0.000000,-0.881303,-0.472551,0.000000,0.000000,0.000000,1.000000,0
138,-2680.029300,-7870.019600,20.001300,-119.600006,-0.493942,0.869495,0.000000,-0.869495,-0.493942,0.000000,0.000000,0.000000,1.000000,0
139,-2680.029300,-7870.019600,20.001300,-119.600006,-0.493942,0.869495,0.000000,-0.869495,-0.493942,0.000000,0.000000,0.000000,1.000000,0
140,-2680.029300,-7870.019600,20.001300,-119.600006,-0.493942,0.869495,0.000000,-0.869495,-0.493942,0.000000,0.000000,0.000000,1.000000,0
141,-2689.990200,-7879.980500,20.001300,-121.400009,-0.521010,0.853551,0.000000,-0.853551,-0.521010,0.000000,0.000000,0.000000,1.000000,0
142,-2689.990200,-7879.980500,20.001300,-121.400009,-0.521010,0.853551,0.000000,-0.853551,-0.521010,0.000000,0.000000,0.000000,1.000000,0
143,-2689.990200,-7879.980500,20.001300,-121.400009,-0.521010,0.853551,0.000000,-0.853551,-0.521010,0.000000,0.000000,0.000000,1.000000,0
144,-2710.009800,-7889.941500,20.001300,-123.300003,-0.549023,0.835807,0.000000,-0.835807,-0.549023,0.000000,0.000000,0.000000,1.000000,0
145,-2710.009800,-7889.941500,20.001300,-123.300003,-0.549023,0.835807,0.000000,-0.835807,-0.549023,0.000000,0.000000,0.000000,1.000000,0
146,-2710.009800,-7889.941500,20.001300,-123.300003,-0.549023,0.835807,0.000000,-0.835807,-0.549023,0.000000,0.000000,0.000000,1.000000,0
147,-2720.019500,-7909.961000,20.001300,-125.600006,-0.582123,0.813101,0.000000,-0.813101,-0.582123,0.000000,0.000000,0.000000,1.000000,0
148,-2720.019500,-7909.961000,20.001300,-125.600006,-0.582123,0.813101,0.000000,-0.813101,-0.582123,0.000000,0.000000,0.000000,1.000000,0
149,-2720.019500,-7909.961000,20.001300,-125.600006,-0.582123,0.813101,0.000000,-0.813101,-0.582123,0.000000,0.000000,0.000000,1.000000,0
150,-2739.990200,-7920.019600,20.001300,-128.100006,-0.617036,0.786935,0.000000,-0.786935,-0.617036,0.000000,0.000000,0.000000,1.000000,0
151,-2739.990200,-7920.019600,20.001300,-128.100006,-0.617036,0.786935,0.000000,-0.786935,-0.617036,0.000000,0.000000,0.000000,1.000000,0
